#  Contiguous U.S. January Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189501,26.69
189601,31.48
189701,28.17
189801,30.67
189901,29.68
190001,34.11
190101,31.62
190201,30.06
190301,30.88
190401,27.55
190501,27.12
190601,32.88
190701,30.7
190801,32.45
190901,32.31
191001,29.61
191101,32.9
191201,24.76
191301,30.47
191401,34.5
191501,28.44
191601,28.22
191701,28.27
191801,23.88
191901,31.82
192001,29.23
192101,34.36
192201,26.8
192301,34.59
192401,26.26
192501,29.1
192601,30.33
192701,31.55
192801,31.98
192901,26.33
193001,23.56
193101,32.99
193201,31.55
193301,34.3
193401,35.08
193501,31.51
193601,27.36
193701,24.84
193801,32.14
193901,33.91
194001,23.83
194101,32.2
194201,29.84
194301,29.41
194401,32.02
194501,30.49
194601,31.39
194701,31.78
194801,27.88
194901,25.92
195001,30.43
195101,30.2
195201,32
195301,36.43
195401,30.9
195501,29.35
195601,31.01
195701,27.07
195801,31.6
195901,29.5
196001,29.46
196101,29.71
196201,26.96
196301,24.44
196401,31.53
196501,31.8
196601,26.38
196701,33.1
196801,28.94
196901,29.37
197001,27.16
197101,29.41
197201,29.93
197301,29.59
197401,31.01
197501,32.34
197601,29.93
197701,23.09
197801,25.86
197901,21.92
198001,31.12
198101,32.41
198201,26.22
198301,33.12
198401,28.83
198501,26.31
198601,34.68
198701,31.44
198801,27.79
198901,34.09
199001,36.48
199101,29.5
199201,33.62
199301,30.47
199401,29.34
199501,33.08
199601,29.7
199701,29.97
199801,34.99
199901,33.78
200001,33.57
200101,31.37
200201,34.48
200301,32.81
200401,30.36
200501,33.39
200601,38.93
200701,31.35
200801,30.27
200901,31.05
201001,30.67
201101,29.71
201201,36.12
201301,32.25
201401,30.56
201501,33.08
201601,32.22
201701,33.57
201801,32.16
201901,32.56
202001,35.53
202101,34.59
202201,31.17
202301,35.08
202401,31.89
202501,29.23
